References,Q,F,L,Qm,Lt,Label,,Marker,Color,Size,Alpha,Style,Width,﻿Suites
"Crook, 1960; Chappell,1968; Raam, 1968",3,29,68,3,68,C. Undissectcd Arc Provenance,II. MAGMATIC ARC PROVENANCES ,s,red,50,0.6,--,2.5,Upper Paleozoic units of New South Wales
"Breyer and Ehlmann, 1979",21,31,48,14,55,Tranistional between suites C & D,II. MAGMATIC ARC PROVENANCES ,^,yellow,50,0.6,:,0.5,"Insular sands, northern Puerto Rico shelf"
"Stewart, 1977",21,28,51,9,63,Tranistional between suites C & D,II. MAGMATIC ARC PROVENANCES ,^,yellow,50,0.6,:,0.5,"Neogene turbidites, Komardorskiy basin, Bering Sea"
"Lerbekmo, 1961",16,25,59,16,59,Tranistional between suites C & D,II. MAGMATIC ARC PROVENANCES ,^,yellow,50,0.6,:,0.5,"Neogene “blue-sand” units, California Coast Ranges"
"Galloway, 1974",18,28,54,18,54,Tranistional between suites C & D,II. MAGMATIC ARC PROVENANCES ,^,yellow,50,0.6,:,0.5,"Bristol Basin, Cenozoic Alaska Peninsula, Alaska"
"Wright and Dickinson, 1972",22,18,60,20,62,Tranistional between suites C & D,II. MAGMATIC ARC PROVENANCES ,^,yellow,50,0.6,:,0.5,Jamaican Paleogene units
"Moore, 1973",16,29,54,14,57,Tranistional between suites C & D,II. MAGMATIC ARC PROVENANCES ,^,yellow,50,0.6,:,0.5,"Shumagin-Sanak Islands Cretaceous, southern Alaska"
"Dickinson and Rich, 1972",21,24,55,20,56,Tranistional between suites C & D,II. MAGMATIC ARC PROVENANCES ,^,yellow,50,0.6,:,0.5,"Jurassic-Cretaceous Stony Creek petrofacies, Great Valley sequence, California"
"Dickinson et al, 1979",15,27,58,7,66,Tranistional between suites C & D,II. MAGMATIC ARC PROVENANCES ,^,yellow,50,0.6,:,0.5,"Upper Jurassic and middle Cretaceous, central Oregon"
"Dickinson, 1971",18,44,38,14,42,Tranistional between suites C & D,II. MAGMATIC ARC PROVENANCES ,^,yellow,50,0.6,:,0.5,"Triassic-Jurassic units, Southland, N.Z. So. Is."
"EnkeboU, 1979",31,50,19,29,21,D. DISSECTED ARC PROVENANCE ,II. MAGMATIC ARC PROVENANCES ,h,k,50,0.6,:,0.5,"Fine-grained trench sands, Oaxaca, Mexico"
"Harrold and Moore, 1973",34,45,21,33,22,D. DISSECTED ARC PROVENANCE ,II. MAGMATIC ARC PROVENANCES ,h,k,50,0.6,:,0.5,"Japan Basin Neogene, Sea of Japan"
"Galloway, 1974",30,29,41,30,41,D. DISSECTED ARC PROVENANCE ,II. MAGMATIC ARC PROVENANCES ,h,k,50,0.6,:,0.5,"Gray’s Harbor-Chehalis Basins Cenozoic, Washington"
"Stewart, 1970",38,32,30,28,40,D. DISSECTED ARC PROVENANCE ,II. MAGMATIC ARC PROVENANCES ,h,k,50,0.6,:,0.5,"Middle Tertiary sandstones, Olympic Peninsula, Washington"
"Stewart, 1976",38,37,25,29,34,D. DISSECTED ARC PROVENANCE ,II. MAGMATIC ARC PROVENANCES ,h,k,50,0.6,:,0.5,Paleogene turbidites of Aleutian abyssal plain
"Dott, 1965",35,30,35,29,41,D. DISSECTED ARC PROVENANCE ,II. MAGMATIC ARC PROVENANCES ,h,k,50,0.6,:,0.5,"Eocene sandstones, Klamath Mountains, southwest Oregon"
"Teraoka, 1977",32,32,36,32,36,D. DISSECTED ARC PROVENANCE ,II. MAGMATIC ARC PROVENANCES ,h,k,50,0.6,:,0.5,"Upper Cretaceous, Median Zone, southwest Japan"
"Tennyson and Cole, 1978;",26,53,21,26,21,D. DISSECTED ARC PROVENANCE ,II. MAGMATIC ARC PROVENANCES ,h,k,50,0.6,:,0.5,"Upper Cretaceous Methow-Pasaytcn sequence, Washington"
"Cole. 1973  Ingersoll, 1976, 1978;",40,41,19,39,20,D. DISSECTED ARC PROVENANCE ,II. MAGMATIC ARC PROVENANCES ,h,k,50,0.6,:,0.5,"Upper Cretaceous Rumsey pctrofacies, Great Valley"
"Dickinson and Rich, 1972 Ingersoll, 1976, 1978",30,32,38,27,41,D. DISSECTED ARC PROVENANCE ,II. MAGMATIC ARC PROVENANCES ,h,k,50,0.6,:,0.5,"Upper Cretaceous pctrofacies, Great Valley sequence,  San Joaquin Valley, California"
"Ingersoll, 1976, 1978;",35,36,29,33,31,D. DISSECTED ARC PROVENANCE ,II. MAGMATIC ARC PROVENANCES ,h,k,50,0.6,:,0.5,"Mid-Cretaceous Boxer and Cortina ""lo-lithic” petrofacies,  Sacramento Valley, California"
"Dicksinson and Rich, 1972 Ingersoll, 1976, 1978;",23,31,46,21,48,D. DISSECTED ARC PROVENANCE ,II. MAGMATIC ARC PROVENANCES ,h,k,50,0.6,:,0.5,"Mid-Cretaceous Boxer and Cortina “hi-lithic” pctrofacies,  Sacramento Valley, California"
"Dickinson and Rich, 1972 Dickinson and Rich, 1972",48,23,29,46,31,D. DISSECTED ARC PROVENANCE ,II. MAGMATIC ARC PROVENANCES ,h,k,50,0.6,:,0.5,"Lower Cretaceous Lodoga petrofacies. Great Valley sequence, northern California"
"Teraoka, 1977",27,41,32,27,32,D. DISSECTED ARC PROVENANCE ,II. MAGMATIC ARC PROVENANCES ,h,k,50,0.6,:,0.5,"Cretaceous Shimanto terrane, Kyushu-Shikoku, Japan"
"Dickinson, 1971",39,36,25,34,30,D. DISSECTED ARC PROVENANCE ,II. MAGMATIC ARC PROVENANCES ,h,k,50,0.6,:,0.5,"Mesozoic Torlesse Group, eastern New Zealand"
"Mayer, 1969",28,36,36,28,36,D. DISSECTED ARC PROVENANCE ,II. MAGMATIC ARC PROVENANCES ,h,k,50,0.6,:,0.5,"Permian-Jurassic Waipapa Group, New Zealand"
"Tennyson and Cole, 1978;",45,25,30,5,70,E. Subduction Complex Provenance,III.RECYCLED OROGEN PROVENAI ,H,blue,50,0.6,:,0.5,"Mid-Cretaceous Virginian Ridge Formation, Methow-Pasayten sequence, Washington"
"Behrman and Parkison, 197 Parison, 1976;  Behrman, 1978",24,9,67,8,83,E. Subduction Complex Provenance,III.RECYCLED OROGEN PROVENAI ,H,blue,50,0.6,:,0.5,"Upper Jurassic epiclastic units, Sierra Nevada foothills belt, California"
"Dickinson et al, 1978",50,13,37,5,82,E. Subduction Complex Provenance,III.RECYCLED OROGEN PROVENAI ,H,blue,50,0.6,:,0.5,"Upper Triassic Vester Formation, central Oregon"
"Condie and Snansieng, 1971",61,7,32,12,81,E. Subduction Complex Provenance,III.RECYCLED OROGEN PROVENAI ,H,blue,50,0.6,:,0.5,"Silurian-Devonian Gazelle Formation, northern California"
"Ingersoll and Suczek, 1979",58,28,14,57,15,F. Collision Orogen Provenance,III.RECYCLED OROGEN PROVENAI ,<,red,50,0.6,:,0.5,"Bengal-Nicobar Fans Neogene, Indian Ocean"
"Sestini, 1970",56,18,26,54,28,F. Collision Orogen Provenance,III.RECYCLED OROGEN PROVENAI ,<,red,50,0.6,:,0.5,"Apennine Oligocene, Italy"
"Sestini, 1970",90,5,5,83,12,F. Collision Orogen Provenance,III.RECYCLED OROGEN PROVENAI ,<,red,50,0.6,:,0.5,"Apennine Eocene, Italy"
"Sestini, 1970",80,6,14,60,34,F. Collision Orogen Provenance,III.RECYCLED OROGEN PROVENAI ,<,red,50,0.6,:,0.5,"Apennine Cretaceous, Italy"
"Graham et al, 1976",62,6,32,44,50,F. Collision Orogen Provenance,III.RECYCLED OROGEN PROVENAI ,<,red,50,0.6,:,0.5,"Carboniferous lithic sandstones, Black Warrior basin, Alabama"
"Graham et al, 1976",79,3,18,67,30,F. Collision Orogen Provenance,III.RECYCLED OROGEN PROVENAI ,<,red,50,0.6,:,0.5,"Carboniferous lithic sandstones, Ouachita Mountains, Arkansas"
"McBride, 1966",68,20,12,65,15,F. Collision Orogen Provenance,III.RECYCLED OROGEN PROVENAI ,<,red,50,0.6,:,0.5,"Carboniferous Haymond Formation Marathon Mountains, Texas"
"James, 1971",78,13,9,70,17,F. Collision Orogen Provenance,III.RECYCLED OROGEN PROVENAI ,<,red,50,0.6,:,0.5,"Ordovician Plynlimon Group, west-central Wales"
"Hiscott, 1978",68,12,20,62,26,F. Collision Orogen Provenance,III.RECYCLED OROGEN PROVENAI ,<,red,50,0.6,:,0.5,"Ordovician Tourelle Formation, Gaspe Peninsula, Quebec"
"Stanley, 1976",55,25,20,46,29,G. Foreland Uplift Provenance,III.RECYCLED OROGEN PROVENAI ,>,green,50,0.6,:,0.5,"Feldspathic petrofacies, High Plains Cenozoic, Wyoming"
"Andersen and Picard, 1974",87,2,11,73,25,G. Foreland Uplift Provenance,III.RECYCLED OROGEN PROVENAI ,>,green,50,0.6,:,0.5,"Oligocene Duchesne River Formation, Uinta Basin"
"Carrigy, 1971",44,12,44,33,55,G. Foreland Uplift Provenance,III.RECYCLED OROGEN PROVENAI ,>,green,50,0.6,:,0.5,"Paleocene Paskapoo Formation, Alberta foothills-plains"
"Carrigy, 1971",70,3,27,42,55,G. Foreland Uplift Provenance,III.RECYCLED OROGEN PROVENAI ,>,green,50,0.6,:,0.5,"Paleocene Paskapoo Formation, Alberta foothills-plains"
"Bartsch-Winkler, in press",52,6,42,36,58,G. Foreland Uplift Provenance,III.RECYCLED OROGEN PROVENAI ,>,green,50,0.6,:,0.5,"﻿Cretaceous Nanushuk Group, Alaskan North Slope"
"Rapson, 1965",67,0,33,37,63,G. Foreland Uplift Provenance,III.RECYCLED OROGEN PROVENAI ,>,green,50,0.6,:,0.5,"Upper Mesozoic clastics, Canadian Rocky Mountains"
"Mellon, 1967",46,6,48,32,62,G. Foreland Uplift Provenance,III.RECYCLED OROGEN PROVENAI ,>,green,50,0.6,:,0.5,"Upper Blairmore Group, Lower Cretaceous Alberta"
"Mellon, 1967",22,24,54,16,60,G. Foreland Uplift Provenance,III.RECYCLED OROGEN PROVENAI ,>,green,50,0.6,:,0.5,"Middle Blairmore Group, Lower Cretaceous, Alberta"
"Mellon, 1967",74,0,26,38,62,G. Foreland Uplift Provenance,III.RECYCLED OROGEN PROVENAI ,>,green,50,0.6,:,0.5,"Lower Blairmore Group, Lower Cretaceous, Alberta"
"Brady, 1969",89,7,4,85,8,G. Foreland Uplift Provenance,III.RECYCLED OROGEN PROVENAI ,>,green,50,0.6,:,0.5,"Upper Jurassic Morrison Formation, central Colorado"
".Cadigan, 1967",82,13,5,76,11,G. Foreland Uplift Provenance,III.RECYCLED OROGEN PROVENAI ,>,green,50,0.6,:,0.5,"Upper Jurassic Morrison Formation, Colorado Plateau"
"Pryor, 1971",85,7,8,66,27,G. Foreland Uplift Provenance,III.RECYCLED OROGEN PROVENAI ,>,green,50,0.6,:,0.5,"Permian Yellow Sands, North Sea region"
"Jones, 1972",87,8,5,65,27,G. Foreland Uplift Provenance,III.RECYCLED OROGEN PROVENAI ,>,green,50,0.6,:,0.5,"Quartzarenite facies, Carboniferous Trenchard Group, England"
"Jones, 1972",46,5,49,17,78,G. Foreland Uplift Provenance,III.RECYCLED OROGEN PROVENAI ,>,green,50,0.6,:,0.5,"Litharenite facies, Carboniferous Trenchard Group, England"
"Pettijohn et al, 1973",79,3,18,76,21,G. Foreland Uplift Provenance,III.RECYCLED OROGEN PROVENAI ,>,green,50,0.6,:,0.5,"Upper Paleozoic Alleghenian molasse, Appalachian basin"
"Harbaugh, 1979",73,2,25,43,55,G. Foreland Uplift Provenance,III.RECYCLED OROGEN PROVENAI ,>,green,50,0.6,:,0.5,"Mississippian Antler trough, east*central Nevada"
"Pettijohn et al, 1973",78,3,19,77,20,G. Foreland Uplift Provenance,III.RECYCLED OROGEN PROVENAI ,>,green,50,0.6,:,0.5,"Lower Paleozoic Taconic molasse, Appalachian basin"
